,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
70,Sección 4415,28,313,8,61,56,183,674,13,10,0,0,47,4,8,17,1,54,1477
71,Sección 4416,40,228,7,37,51,186,858,9,3,0,2,42,9,4,13,4,41,1534
72,Sección 4417,53,373,6,76,86,259,1135,17,6,1,1,45,10,17,15,2,71,2173
73,Sección 4418,38,357,12,58,55,211,686,11,6,0,4,47,3,5,1,0,45,1539
74,Sección 4419,144,451,13,92,80,463,1421,18,8,1,0,73,12,28,20,2,61,2887
75,Sección 4420,71,207,2,38,36,141,588,10,1,0,0,27,3,6,6,0,31,1167
76,Sección 4421,101,417,13,63,59,298,512,31,9,0,1,37,7,16,10,0,40,1614
77,Sección 4422,119,478,15,51,68,385,1045,21,14,0,2,63,16,18,15,8,47,2365
78,Sección 4423,168,529,13,101,93,564,1773,26,12,9,2,83,6,17,12,9,51,3468
79,Sección 4424,343,611,18,146,124,578,2092,61,17,1,0,178,9,27,39,5,69,4318
80,Sección 4425,30,287,10,37,47,133,487,15,4,0,0,40,7,5,11,0,23,1136
81,Sección 4426,63,395,5,64,68,224,848,18,4,0,0,32,3,9,16,3,37,1789
82,Sección 4427,346,399,18,88,78,469,1438,55,11,2,3,99,5,11,21,10,53,3106
83,Sección 4428,41,266,6,38,20,109,313,7,3,0,0,17,3,2,4,0,20,849
84,Sección 5822,251,416,14,89,71,235,692,27,8,2,1,52,3,9,14,3,40,1927
85,Sección 5823,62,259,2,26,40,121,341,15,4,1,0,35,2,3,7,0,16,934
86,Sección 5824,66,330,1,52,41,148,472,13,0,0,0,42,0,3,6,1,18,1193
87,Sección 5825,140,381,7,81,70,246,703,22,7,0,2,53,6,12,12,0,36,1778
88,Sección 5826,272,633,16,113,114,425,1235,64,14,0,1,138,6,13,26,4,69,3143
