,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
69,Sección 756,181,25,3,34,22,105,344,14,4,1,1,38,0,6,6,3,17,804
70,Sección 757,58,12,1,12,9,46,158,11,2,1,0,24,3,1,6,2,8,354
71,Sección 758,172,32,4,44,30,131,518,21,1,0,0,73,6,11,11,1,24,1079
72,Sección 759,486,61,11,81,75,223,932,52,6,3,0,115,0,4,13,5,29,2096
73,Sección 819,144,24,2,19,18,67,263,16,3,0,0,23,0,2,6,4,13,604
74,Sección 820,160,20,4,25,15,83,314,10,2,0,0,29,1,3,6,3,11,686
75,Sección 821,100,18,1,19,16,29,193,15,0,0,0,24,0,0,0,0,11,426
76,Sección 823,130,12,0,17,12,44,163,12,1,1,0,21,2,1,3,4,4,427
77,Sección 824,37,10,2,3,5,24,124,2,1,0,0,13,1,1,2,2,4,231
78,Sección 825,96,12,3,21,19,60,309,8,3,1,0,34,1,4,5,2,12,590
79,Sección 826,87,16,2,13,15,74,217,10,0,0,0,27,0,3,5,2,7,478
80,Sección 827,58,11,2,21,17,68,266,4,3,1,0,46,2,7,6,6,12,530
81,Sección 829,56,13,2,23,35,47,251,6,2,0,0,29,0,2,5,0,13,484
82,Sección 830,64,11,2,27,28,66,343,6,2,0,0,27,0,18,7,0,12,613
83,Sección 832,120,21,0,24,13,61,191,10,3,0,0,23,1,0,1,0,9,477
84,Sección 838,72,12,3,22,18,73,274,6,1,0,0,35,1,2,3,0,8,530
85,Sección 840,83,17,2,22,18,65,292,10,3,1,0,38,2,6,7,4,15,585
86,Sección 841,47,3,1,13,9,24,186,5,0,0,0,1,9,3,1,0,10,312
87,Sección 842,46,8,3,22,21,57,233,4,5,0,0,39,0,9,10,3,22,482
88,Sección 843,52,7,0,23,15,61,232,8,1,0,0,18,0,4,3,1,5,430
89,Sección 844,32,12,2,17,15,35,203,5,0,1,0,25,0,5,4,0,13,369
90,Sección 845,91,10,1,16,6,53,193,1,1,1,0,12,0,1,2,2,16,406
91,Sección 846,307,28,4,30,47,194,632,24,15,1,0,75,2,10,11,5,18,1403
92,Sección 847,69,13,0,19,15,39,147,11,6,0,0,11,2,5,4,1,6,348
93,Sección 848,46,16,3,20,6,42,159,5,1,0,0,25,1,2,1,2,10,339
94,Sección 849,64,10,1,16,11,27,150,11,5,0,0,21,2,7,3,0,5,333
95,Sección 850,74,16,2,15,14,50,210,11,5,0,0,24,0,7,3,5,10,446
96,Sección 851,24,8,0,6,4,30,91,1,2,0,0,15,0,2,4,1,4,192
97,Sección 852,67,11,1,25,12,38,157,5,3,1,0,16,2,3,1,2,3,347
98,Sección 853,110,8,0,18,6,47,183,12,2,0,0,17,0,2,3,1,10,419
99,Sección 854,214,28,1,30,29,112,365,16,1,0,0,40,1,5,8,2,14,866
100,Sección 855,131,11,3,25,33,81,258,9,1,0,0,35,1,4,9,2,10,613
101,Sección 856,167,30,3,32,27,139,587,19,3,0,0,51,2,5,7,5,13,1090
102,Sección 857,253,46,2,57,51,210,708,19,4,1,0,75,3,7,14,2,25,1477
103,Sección 858,205,27,5,29,46,120,428,33,2,0,1,52,2,9,13,0,15,987
104,Sección 859,228,30,8,45,43,125,603,21,8,1,20,66,3,6,14,0,22,1243
105,Sección 860,162,27,5,46,37,135,677,15,4,0,0,64,1,9,15,1,22,1220
106,Sección 861,175,23,4,42,31,108,529,14,3,1,0,70,2,5,4,1,19,1031
107,Sección 862,260,43,8,64,48,183,835,15,6,0,0,77,6,15,5,1,21,1587
108,Sección 863,81,11,4,29,25,82,375,6,1,1,0,33,2,10,13,3,26,702
109,Sección 864,230,37,6,48,38,170,660,21,6,0,0,70,5,14,11,7,32,1355
110,Sección 865,65,22,2,62,10,243,308,12,0,1,8,37,1,6,5,2,16,800
111,Sección 866,165,21,6,60,38,107,691,13,0,2,0,95,4,18,14,2,34,1270
112,Sección 879,1678,78,14,27,25,141,412,99,20,6,0,53,0,1,8,5,26,2593
113,Sección 880,846,30,4,4,6,23,113,32,5,0,0,16,0,0,0,1,7,1087
114,Sección 881,895,48,4,7,6,45,165,39,7,1,0,18,0,1,4,1,14,1255
115,Sección 882,730,43,8,15,28,55,234,33,5,1,0,14,0,3,1,1,16,1187
116,Sección 883,775,30,13,9,16,41,124,52,5,0,1,18,0,2,2,3,10,1101
117,Sección 884,970,34,14,10,7,36,127,26,5,0,1,20,1,0,2,7,12,1272
118,Sección 885,750,49,9,22,17,58,201,52,7,2,0,17,0,0,6,2,15,1207
119,Sección 886,879,29,6,7,2,27,117,33,5,2,0,5,0,0,0,2,7,1121
