,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
68,Sección 2700,38,31,14,29,52,62,702,14,0,2,0,90,3,26,25,4,24,1116
69,Sección 2701,64,22,1,28,39,53,555,4,5,0,1,92,6,6,13,2,11,902
70,Sección 2702,51,21,11,42,49,66,723,10,0,0,1,76,8,8,14,3,21,1104
71,Sección 2703,54,49,18,43,52,72,696,11,1,0,2,82,8,12,19,1,35,1155
72,Sección 2704,53,23,12,32,41,59,565,7,5,1,2,86,8,14,13,1,24,946
73,Sección 2705,46,32,22,26,51,54,592,5,1,1,1,74,9,5,20,1,17,957
74,Sección 2706,57,32,17,26,34,77,545,10,2,0,2,87,5,6,12,0,24,936
75,Sección 2707,64,34,9,21,51,50,648,18,1,0,0,104,16,10,19,1,24,1070
76,Sección 2708,48,21,9,29,36,51,627,1,1,0,2,51,9,13,12,2,24,936
77,Sección 2709,61,31,23,30,39,61,585,7,2,0,0,72,3,18,9,0,22,963
78,Sección 2710,47,28,11,54,53,83,671,6,0,1,0,97,6,21,21,1,27,1127
79,Sección 2711,41,27,8,34,50,86,531,12,0,1,0,69,6,12,19,2,27,925
80,Sección 2712,61,45,9,38,47,58,596,14,0,0,0,73,8,5,8,0,19,981
81,Sección 2713,62,32,15,54,43,75,744,15,3,2,0,93,15,11,15,1,35,1215
82,Sección 2714,73,52,29,59,50,90,625,14,1,0,2,91,7,9,14,1,25,1142
83,Sección 2715,73,47,10,38,41,77,513,10,1,1,0,53,8,17,14,0,29,932
84,Sección 2716,57,44,11,35,45,81,496,17,2,0,0,82,6,8,2,1,20,907
85,Sección 2717,76,48,14,34,55,67,577,17,3,1,0,71,2,18,17,1,18,1019
86,Sección 2718,81,34,6,36,52,75,533,13,1,0,1,80,7,14,19,0,16,968
87,Sección 2719,103,49,24,71,58,117,1089,22,1,0,4,142,8,18,27,2,53,1788
88,Sección 2720,92,59,22,64,69,99,926,17,5,1,0,120,7,16,18,0,24,1539
89,Sección 2721,67,34,14,59,55,66,664,12,0,0,0,73,7,12,14,0,20,1097
90,Sección 2722,73,30,10,52,34,60,580,25,0,0,0,46,1,5,1,1,14,932
91,Sección 2777,87,46,15,63,39,93,645,12,2,1,0,72,5,3,15,8,18,1124
92,Sección 2778,74,43,21,36,40,81,580,12,2,0,0,78,2,7,23,1,13,1013
93,Sección 2779,100,58,26,57,66,121,1236,13,1,1,0,139,16,19,21,0,53,1927
94,Sección 2780,73,43,10,72,73,98,798,7,2,0,0,92,2,18,19,1,24,1332
95,Sección 2781,71,37,9,62,58,108,805,11,0,1,0,105,6,21,18,2,26,1340
96,Sección 2782,67,28,16,39,38,83,716,10,4,0,0,89,4,11,13,0,24,1142
97,Sección 2783,60,35,13,52,54,79,579,5,3,1,0,76,10,15,12,6,26,1026
98,Sección 2784,80,37,11,50,55,87,648,11,0,0,0,44,5,13,9,0,32,1082
99,Sección 2785,74,43,26,46,83,88,948,7,1,2,1,116,10,16,16,1,46,1524
100,Sección 2786,143,74,36,123,143,189,1805,27,3,1,1,235,22,35,58,2,52,2949
101,Sección 2787,54,43,15,45,37,75,645,15,1,1,0,115,1,7,5,0,31,1090
102,Sección 2788,56,30,21,47,56,75,758,8,0,2,0,91,5,17,10,0,21,1197
103,Sección 2789,94,43,13,56,48,110,735,4,7,1,0,87,7,21,25,0,31,1282
104,Sección 2790,77,31,21,56,79,134,840,16,1,2,0,133,4,11,19,0,32,1456
105,Sección 2791,67,34,19,46,76,65,755,19,3,2,1,103,19,17,25,1,36,1288
106,Sección 2792,59,28,22,23,45,66,614,7,0,0,0,29,36,4,4,0,20,957
107,Sección 2793,106,30,27,46,79,68,638,10,0,2,0,106,4,7,17,1,17,1158
108,Sección 2794,46,36,13,43,55,60,624,15,1,0,0,92,6,10,13,0,22,1036
109,Sección 2795,57,48,20,35,44,55,578,5,3,2,0,94,5,8,12,7,14,987
110,Sección 2796,46,32,8,41,48,77,594,11,2,0,0,63,7,5,22,1,21,978
111,Sección 2797,87,55,25,84,98,150,1002,17,2,1,0,139,11,26,26,3,46,1772
112,Sección 2798,58,53,12,54,40,73,687,11,0,1,0,107,10,12,10,0,26,1154
113,Sección 2799,64,20,23,68,89,74,814,10,1,0,0,133,13,8,21,0,25,1363
114,Sección 2800,155,121,59,141,161,280,2067,35,8,2,0,246,16,28,47,5,87,3458
115,Sección 2801,79,40,19,68,66,149,1186,12,2,0,1,159,13,23,27,3,24,1871
116,Sección 2802,82,56,48,126,104,176,1688,25,1,0,0,200,14,46,37,0,66,2669
117,Sección 2803,63,49,60,73,81,116,1133,21,2,1,3,127,13,20,40,0,33,1835
118,Sección 2804,44,36,25,35,37,48,511,8,2,0,0,71,6,10,17,0,17,867
119,Sección 2805,54,28,14,44,87,68,835,13,1,0,0,103,16,4,25,1,33,1326
