,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
111,Sección 833,64,25,3,59,31,80,248,7,1,0,0,40,8,3,6,0,15,590
112,Sección 834,272,92,12,37,24,73,379,0,0,0,0,0,0,0,0,0,4,893
113,Sección 835,151,48,9,12,26,46,218,12,0,0,0,28,2,1,5,0,7,565
114,Sección 836,50,18,10,53,48,131,370,16,2,0,0,41,1,2,3,1,18,764
115,Sección 837,98,39,11,93,63,118,430,11,2,0,0,38,1,4,6,1,22,937
116,Sección 838,68,34,9,59,36,80,295,7,0,0,0,38,4,1,5,2,9,647
117,Sección 839,99,70,8,83,62,143,525,10,2,0,0,27,2,5,7,0,19,1062
118,Sección 840,49,24,7,49,54,110,343,6,0,0,0,14,2,3,0,0,19,680
119,Sección 841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Sección 842,58,58,9,52,41,104,319,4,0,0,0,39,1,4,9,0,9,707
121,Sección 843,124,70,13,80,62,135,532,19,1,0,0,48,4,6,13,1,16,1124
122,Sección 845,19,7,3,29,45,43,149,5,0,0,0,12,1,1,3,0,13,330
123,Sección 846,33,27,8,70,59,60,252,4,1,1,0,33,4,6,7,3,14,582
124,Sección 847,41,32,7,65,77,85,342,2,1,1,0,32,7,9,5,0,23,729
125,Sección 848,28,29,9,59,64,76,288,7,0,0,0,13,1,1,4,0,15,594
126,Sección 849,37,20,15,57,40,73,218,5,0,0,0,9,1,2,5,0,18,500
127,Sección 850,327,71,28,125,163,269,1071,15,11,1,1,64,7,10,18,2,52,2235
128,Sección 851,311,74,9,64,98,211,1064,28,5,2,0,84,5,6,16,4,30,2011
129,Sección 852,277,67,12,117,218,368,1402,11,5,5,2,96,17,24,32,0,54,2707
130,Sección 853,137,22,16,72,90,164,639,13,5,0,1,49,6,10,24,0,46,1294
131,Sección 854,125,19,11,76,88,148,648,8,3,0,0,60,7,7,14,0,20,1234
