,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
105,Sección 2104,38,271,5,57,55,52,525,33,6,0,1,47,4,8,4,1,52,1159
106,Sección 2105,14,187,0,34,40,36,392,5,9,0,0,18,3,3,8,0,25,774
107,Sección 2106,15,219,1,46,42,45,370,4,2,0,0,23,3,4,3,0,26,803
108,Sección 2107,31,147,3,37,26,40,462,4,1,0,0,10,3,3,2,0,27,796
109,Sección 2108,33,105,9,52,57,33,772,8,1,1,1,35,2,9,16,2,23,1159
110,Sección 2116,238,50,6,122,105,219,1249,12,5,0,0,80,9,19,20,4,55,2193
111,Sección 2184,203,60,3,51,113,161,853,16,3,0,0,69,5,13,24,3,41,1618
112,Sección 2185,112,37,0,41,97,100,596,8,3,3,0,51,8,8,22,0,26,1112
113,Sección 2186,53,20,1,33,89,39,355,0,0,1,1,36,4,7,15,0,25,679
114,Sección 2187,54,15,3,38,60,29,353,1,0,1,0,31,3,8,9,0,15,620
115,Sección 2190,118,66,7,81,183,104,1145,1,2,0,0,85,13,24,29,0,134,1992
116,Sección 2191,196,48,7,89,197,135,810,3,1,0,1,65,11,7,35,1,49,1655
117,Sección 2192,97,32,3,52,105,38,498,3,0,1,0,40,5,6,13,0,42,935
118,Sección 2193,168,87,7,115,166,166,990,2,7,5,1,56,8,6,29,1,50,1864
119,Sección 2194,83,40,27,52,142,86,648,3,0,0,0,48,0,9,18,0,50,1206
120,Sección 2195,228,92,3,83,104,64,552,0,1,0,0,21,7,13,14,1,51,1234
121,Sección 2196,170,33,4,74,140,125,900,0,0,0,0,52,9,14,26,0,35,1582
122,Sección 2197,145,30,3,80,104,78,806,3,2,0,0,39,7,8,27,2,32,1366
123,Sección 2198,105,28,0,61,94,102,766,3,2,0,0,53,2,10,12,3,39,1280
124,Sección 2199,261,69,6,104,150,186,1379,3,3,0,0,69,11,16,30,7,61,2355
125,Sección 2200,186,29,7,63,129,113,1011,2,6,2,0,50,3,10,20,1,77,1709
126,Sección 2201,157,49,6,663,620,42,126,1,0,0,1,4,1,3,1,2,44,1720
127,Sección 2202,22,4,0,252,56,4,22,0,0,0,0,0,0,0,0,0,0,360
128,Sección 2203,48,49,3,863,138,14,53,1,1,0,0,2,0,0,0,0,20,1192
129,Sección 2204,41,39,6,324,67,16,78,1,1,0,0,5,1,2,1,0,21,603
130,Sección 2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Sección 2206,24,19,3,493,303,16,27,3,0,0,0,4,0,1,4,0,12,909
132,Sección 2207,30,20,2,253,299,5,43,2,0,0,0,4,1,5,2,0,17,683
133,Sección 2208,19,11,1,336,150,3,8,0,0,0,0,0,1,0,0,0,1,530
134,Sección 2310,233,33,6,327,107,154,1066,6,8,0,0,69,8,25,20,1,41,2104
135,Sección 2311,165,32,11,320,84,209,950,3,4,10,0,36,13,8,13,0,61,1919
136,Sección 2312,123,38,6,253,111,111,866,1,0,5,0,50,8,15,25,4,22,1638
137,Sección 2313,110,27,22,237,107,108,926,3,0,0,0,59,7,8,12,1,46,1673
138,Sección 2314,99,57,8,250,52,121,683,5,1,0,2,53,7,14,14,1,27,1394
139,Sección 2315,69,35,3,184,41,69,465,5,2,0,0,26,1,5,20,1,20,946
140,Sección 2316,43,92,1,192,49,77,432,2,0,2,0,44,12,15,20,0,42,1023
141,Sección 2349,206,269,2,47,64,98,386,4,3,0,0,14,2,2,8,0,42,1147
142,Sección 2350,105,86,1,18,39,25,206,0,1,0,1,8,0,5,0,0,16,511
143,Sección 2351,132,107,0,41,72,57,382,0,7,2,1,14,3,2,4,0,46,870
144,Sección 2352,157,121,0,30,48,13,323,4,0,0,5,15,0,5,10,0,66,797
145,Sección 2353,257,143,5,37,62,36,353,1,1,5,1,9,1,1,2,0,98,1012
146,Sección 2354,39,88,1,16,35,23,168,0,0,0,0,0,0,0,0,0,21,391
147,Sección 2355,475,279,9,47,87,52,575,2,4,3,1,8,5,5,10,0,142,1704
148,Sección 2356,469,310,2,39,92,20,171,4,8,5,3,4,1,2,6,0,94,1230
149,Sección 2357,675,550,8,88,158,63,590,3,11,3,0,5,0,6,3,0,99,2262
150,Sección 2358,0,0,0,0,0,6,0,85,85,0,0,114,0,0,0,0,28,318
151,Sección 2359,934,621,4,28,79,6,198,0,9,3,0,5,1,1,3,3,95,1990
152,Sección 2413,104,76,9,374,430,105,725,4,3,0,0,26,8,12,10,0,70,1956
153,Sección 2414,39,39,4,379,344,116,615,4,2,0,0,32,8,21,14,0,56,1673
154,Sección 2415,11,12,1,70,58,12,78,0,1,0,0,6,1,5,7,0,10,272
155,Sección 2490,147,44,9,156,339,267,1067,3,0,0,0,28,9,27,17,2,32,2147
156,Sección 2491,36,18,4,78,206,68,480,3,0,1,0,19,4,6,4,1,12,940
157,Sección 2492,12,15,0,43,38,35,186,0,1,0,0,3,0,6,2,0,8,349
158,Sección 2493,3,1,1,5,23,77,30,0,0,0,0,0,0,0,2,0,2,144
159,Sección 2494,23,13,2,88,73,176,350,3,1,0,0,14,3,13,2,0,39,800
160,Sección 2495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Sección 2496,12,27,4,40,77,41,209,1,1,0,0,7,3,18,3,1,14,458
162,Sección 2497,8,2,2,26,22,8,109,0,0,0,0,0,0,26,0,0,5,208
163,Sección 2498,4,6,0,8,20,6,68,0,0,0,0,9,0,0,0,0,5,126
164,Sección 2527,339,25,4,71,186,96,1206,5,6,0,0,52,3,14,25,2,37,2071
165,Sección 2528,296,19,8,50,152,108,981,8,3,1,0,45,1,5,9,2,47,1735
166,Sección 2529,151,13,2,22,81,48,637,2,3,1,0,30,0,1,12,0,16,1019
167,Sección 2530,244,28,3,58,115,99,1001,3,2,1,0,33,3,5,10,5,49,1659
168,Sección 2531,186,11,4,27,106,83,756,4,2,0,0,36,5,3,8,1,26,1258
169,Sección 2532,251,25,2,55,171,85,990,6,2,0,0,42,0,7,13,3,32,1684
170,Sección 2537,19,49,74,20,49,35,97,4,2,2,1,4,1,1,3,0,36,397
171,Sección 2538,64,101,137,49,95,80,105,2,2,1,3,13,3,0,4,0,201,860
172,Sección 2539,134,157,235,103,161,209,419,8,1,0,0,10,0,1,2,0,131,1571
173,Sección 2541,67,155,248,63,105,25,128,2,1,1,3,3,2,5,1,0,52,861
174,Sección 2542,16,39,120,28,76,26,168,0,0,0,0,0,0,0,0,0,64,537
175,Sección 2543,21,4,163,11,35,16,82,0,0,1,1,1,0,0,2,0,46,383
176,Sección 2544,4,60,157,11,29,17,70,1,2,2,0,1,1,1,0,0,36,392
177,Sección 2545,128,179,360,89,148,92,309,2,3,2,5,8,7,2,8,0,186,1528
178,Sección 2546,7,40,65,11,25,7,45,0,0,0,0,0,0,0,3,0,17,220
179,Sección 2547,9,143,106,0,51,34,481,0,0,0,0,0,0,0,0,0,60,884
180,Sección 2548,61,151,669,48,110,34,365,7,3,9,2,8,2,1,9,0,71,1550
181,Sección 2684,13,4,0,11,60,5,128,0,1,0,0,4,2,1,0,0,6,235
182,Sección 2685,244,34,6,66,47,18,231,0,8,2,0,13,1,0,3,0,154,827
183,Sección 2686,209,54,9,71,61,27,285,0,4,1,0,4,0,2,2,0,179,908
184,Sección 2687,31,43,1,10,15,5,130,1,2,0,0,3,0,0,1,0,8,250
185,Sección 2705,6,17,0,10,16,0,56,0,1,0,0,1,1,0,2,0,9,119
186,Sección 2706,66,42,6,70,81,42,488,2,1,4,0,42,10,12,5,9,54,934
187,Sección 2707,69,17,2,58,75,62,619,1,1,0,0,27,3,9,14,0,85,1042
188,Sección 2708,14,50,0,20,21,8,90,0,0,1,0,0,0,0,4,0,24,232
189,Sección 2709,42,80,2,21,35,10,138,0,1,0,1,4,0,3,5,0,47,389
190,Sección 2710,81,104,2,116,161,101,1024,2,5,2,2,66,11,19,19,0,98,1813
191,Sección 2740,54,22,5,57,62,28,156,2,1,1,0,7,3,5,4,3,34,444
192,Sección 2742,27,15,5,268,26,3,59,0,0,0,0,0,0,0,0,0,11,414
193,Sección 2901,25,10,2,2,315,67,51,0,0,0,0,0,0,1,0,0,12,485
194,Sección 2902,33,14,1,7,723,37,525,1,0,0,0,0,5,1,0,0,64,1411
195,Sección 2903,22,17,3,7,346,16,194,0,0,1,0,2,1,1,0,0,21,631
