,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
105,Sección 1076,122,12,1,6,8,48,189,3,2,0,0,18,0,2,1,3,10,425
106,Sección 1077,608,55,6,58,64,281,982,22,6,0,2,85,3,13,14,1,35,2235
107,Sección 1079,80,18,1,6,7,35,192,2,0,0,0,9,1,6,0,0,9,366
108,Sección 1080,70,8,1,7,3,48,174,4,1,0,0,13,0,2,3,0,8,342
109,Sección 1081,155,20,1,19,10,60,252,6,3,0,0,20,1,6,3,1,8,565
110,Sección 1082,248,27,4,17,19,89,402,7,2,0,0,44,5,3,8,0,21,896
111,Sección 1083,109,9,2,6,10,40,175,10,2,0,0,11,1,3,0,0,2,380
112,Sección 1084,174,13,7,17,11,75,335,5,1,1,1,22,2,5,4,4,22,699
113,Sección 1085,149,10,2,17,17,50,261,7,2,0,0,17,3,1,3,0,15,554
114,Sección 1086,115,11,1,11,6,52,259,3,1,0,0,15,0,3,2,2,9,490
115,Sección 1087,86,3,5,9,5,37,163,4,1,0,0,10,0,3,0,1,7,334
116,Sección 1088,140,11,1,15,5,43,223,7,2,0,0,13,0,3,0,1,6,470
117,Sección 1089,132,22,3,24,22,65,291,1,6,0,0,27,1,5,7,0,19,625
118,Sección 1090,137,21,2,14,9,49,268,4,0,0,0,16,1,3,4,1,9,538
119,Sección 1091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Sección 1092,113,12,2,19,15,53,236,8,2,0,1,17,4,5,4,0,12,503
121,Sección 1093,221,36,1,16,11,63,327,12,4,2,0,27,1,6,1,0,7,735
122,Sección 1094,285,30,2,19,16,102,310,15,7,1,1,25,2,7,4,2,14,842
123,Sección 1095,202,11,3,19,19,67,383,5,2,1,0,18,1,8,8,0,17,764
124,Sección 1096,189,40,5,7,26,79,306,8,3,0,0,16,0,0,2,0,10,691
125,Sección 1097,33,7,1,2,6,25,145,2,0,2,0,16,1,5,1,0,7,253
126,Sección 1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Sección 1100,138,10,4,21,14,68,349,1,6,0,0,18,2,8,3,0,18,660
128,Sección 1101,152,15,1,21,16,70,294,3,2,0,0,27,0,7,2,0,15,625
