,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
163,Sección 1036,10,5,68,79,9,138,244,4,0,0,9,13,1,3,4,0,9,596
164,Sección 1037,22,12,2,236,23,60,496,4,0,0,0,46,2,11,7,0,6,927
165,Sección 1038,2,5,4,59,9,16,146,4,0,0,0,16,0,3,0,0,12,276
166,Sección 1039,22,12,4,236,41,52,583,7,0,0,18,39,2,8,10,0,18,1052
167,Sección 1041,26,13,3,142,51,55,592,5,1,6,0,48,0,3,28,0,14,987
168,Sección 1042,33,14,2,80,17,55,433,7,0,0,0,36,2,4,8,0,21,712
169,Sección 1043,21,4,1,189,18,29,405,1,0,0,0,33,3,3,5,0,12,724
170,Sección 1044,11,4,3,89,24,30,276,9,0,0,0,35,0,8,5,0,10,504
171,Sección 1045,7,8,1,50,3,11,105,5,0,0,0,17,0,0,1,0,2,210
172,Sección 1046,5,6,0,52,5,19,147,0,1,0,0,6,0,1,5,1,2,250
173,Sección 1047,80,31,9,220,38,102,629,3,0,0,0,37,0,6,5,0,24,1184
174,Sección 1048,16,10,1,142,12,24,231,3,0,0,0,24,0,4,5,0,14,486
175,Sección 1049,13,10,0,59,9,14,165,3,1,0,0,13,3,6,2,0,7,305
176,Sección 1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Sección 1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Sección 1052,16,9,0,176,11,31,240,4,0,0,0,16,0,5,2,1,7,518
179,Sección 1053,15,2,2,103,6,18,236,1,0,0,0,16,0,3,5,3,4,414
180,Sección 1054,31,9,4,122,11,49,325,6,0,0,0,33,1,0,3,1,11,606
181,Sección 1055,4,5,3,76,5,15,139,1,0,0,0,6,0,5,2,0,3,264
182,Sección 1056,10,4,1,66,14,13,127,0,0,0,0,13,1,2,3,0,4,258
183,Sección 1057,117,38,10,124,41,107,631,8,5,0,0,69,0,4,7,3,32,1196
184,Sección 1058,17,12,1,200,16,48,456,2,0,0,0,33,4,1,7,1,20,818
185,Sección 1059,38,15,4,444,34,78,709,2,1,1,0,52,1,11,9,1,31,1431
186,Sección 1060,3,8,0,106,21,13,250,0,1,0,0,29,0,4,1,0,5,441
187,Sección 1061,5,4,4,74,4,10,160,0,1,1,0,14,3,3,4,2,7,296
188,Sección 1062,19,16,3,234,18,22,384,1,1,0,0,37,1,2,8,0,17,763
189,Sección 1063,6,4,6,181,6,15,218,1,0,0,0,14,0,5,3,1,7,467
190,Sección 1064,2,7,2,124,16,21,289,1,0,0,0,30,1,9,6,1,7,516
191,Sección 1065,7,4,4,242,7,15,205,1,0,0,0,27,1,0,3,0,6,522
192,Sección 1066,29,16,5,287,34,47,563,1,3,0,0,61,2,9,8,0,36,1101
193,Sección 1067,8,5,3,72,8,12,162,2,0,0,0,15,0,2,1,2,3,295
194,Sección 1068,6,7,4,168,11,18,262,1,0,0,0,13,0,20,1,0,13,524
195,Sección 1091,222,101,22,300,48,198,932,28,5,1,1,103,6,22,22,9,46,2066
196,Sección 1092,22,12,2,222,13,49,240,5,0,1,0,34,1,15,9,0,9,634
197,Sección 1093,309,45,8,65,10,18,155,26,2,0,1,8,0,4,3,1,9,664
198,Sección 1094,88,40,5,183,12,65,520,7,3,1,6,26,1,8,5,1,17,988
199,Sección 1116,519,66,10,13,7,31,151,28,3,0,0,14,0,0,1,0,4,847
200,Sección 1117,161,23,3,12,8,10,87,6,1,0,0,10,1,1,2,0,8,333
201,Sección 1118,294,67,10,24,26,90,291,27,3,3,0,26,1,2,5,3,13,885
202,Sección 1119,631,71,13,187,26,72,488,53,4,2,0,35,3,14,6,3,28,1636
203,Sección 1120,906,165,17,48,54,173,578,83,5,1,1,69,3,7,12,6,15,2143
204,Sección 1121,485,64,9,16,6,41,86,34,1,0,0,11,0,0,0,0,6,759
205,Sección 1122,897,110,14,19,11,23,137,71,11,1,0,10,1,1,5,3,5,1319
206,Sección 1123,1019,141,17,32,25,86,290,89,9,0,0,29,1,2,5,2,26,1773
207,Sección 1124,675,74,6,7,10,21,111,46,5,1,1,11,0,1,3,1,4,977
208,Sección 1125,53,9,6,178,13,27,397,1,0,1,0,20,2,10,6,3,11,737
209,Sección 1126,27,7,3,77,6,9,169,2,1,0,0,13,2,2,3,0,5,326
210,Sección 1127,61,17,2,249,19,46,559,8,1,0,0,26,1,8,4,0,29,1030
