,Total de votos,Porcentaje
PAN,14149,0.110401
PRI,11765,0.091799
PRD,767,0.005984
V,3681,0.028721
PT,3971,0.030984
MC,26411,0.206078
M,56167,0.438256
PA+PRI+PRD,1984,0.01548
PAN+PRI,437,0.003409
PAN+PRD,44,0.000343
PRI+PRD,56,0.000436
V+PT+M,4056,0.031647
V+PT,268,0.002091
V+M,671,0.005235
PT+M,814,0.006351
