,Total de votos,Porcentaje
PAN,62859,0.256936
PRI,5909,0.024153
PRD,939,0.003838
V,6883,0.028134
PT,5945,0.0243
MC,22192,0.090709
M,118973,0.486302
PA+PRI+PRD,3476,0.014208
PAN+PRI,742,0.003032
PAN+PRD,120,0.00049
PRI+PRD,111,0.000453
V+PT+M,8772,0.035855
V+PT,518,0.002117
V+M,1419,0.0058
PT+M,1496,0.006114
