,Total de votos,Porcentaje
PAN,42842,0.293715
PRI,4391,0.030103
PRD,832,0.005704
V,3569,0.024468
PT,3627,0.024865
MC,15878,0.108856
M,62979,0.431771
PA+PRI+PRD,2056,0.014095
PAN+PRI,502,0.003441
PAN+PRD,92,0.00063
PRI+PRD,84,0.000575
V+PT+M,4322,0.02963
V+PT,224,0.001535
V+M,781,0.005354
PT+M,782,0.005361
