,Total de votos,Porcentaje
PAN,10136,0.073431
PRI,11888,0.086123
PRD,998,0.00723
V,6636,0.048075
PT,9453,0.068483
MC,9978,0.072286
M,76115,0.551422
PA+PRI+PRD,1411,0.010222
PAN+PRI,439,0.00318
PAN+PRD,33,0.000239
PRI+PRD,58,0.00042
V+PT+M,4972,0.03602
V+PT,707,0.005121
V+M,822,0.005955
PT+M,1340,0.009707
