,Total de votos,Porcentaje
PAN,19687,0.139401
PRI,16719,0.118385
PRD,1118,0.007916
V,6045,0.042804
PT,3830,0.027119
MC,12122,0.085834
M,68380,0.484191
PA+PRI+PRD,2575,0.018233
PAN+PRI,568,0.004021
PAN+PRD,78,0.000552
PRI+PRD,82,0.00058
V+PT+M,4654,0.032954
V+PT,424,0.003002
V+M,1313,0.009297
PT+M,860,0.006089
