,Total de votos,Porcentaje
PAN,13937,0.083499
PRI,13256,0.079419
PRD,4073,0.024402
V,6985,0.041848
PT,6377,0.038205
MC,11694,0.07006
M,92643,0.55504
PA+PRI+PRD,2502,0.014989
PAN+PRI,516,0.003091
PAN+PRD,133,0.000796
PRI+PRD,152,0.00091
V+PT+M,5953,0.035665
V+PT,677,0.004056
V+M,1129,0.006764
PT+M,1062,0.006362
