,Total de votos,Porcentaje
PAN,26420,0.217972
PRI,3363,0.027745
PRD,798,0.006583
V,5175,0.042695
PT,11186,0.092287
MC,9536,0.078674
M,50333,0.415261
PA+PRI+PRD,2021,0.016673
PAN+PRI,355,0.002928
PAN+PRD,102,0.000841
PRI+PRD,64,0.000528
V+PT+M,5959,0.049163
V+PT,618,0.005098
V+M,630,0.005197
PT+M,1756,0.014487
