,Total de votos,Porcentaje
PAN,22335,0.162198
PRI,25350,0.184093
PRD,1385,0.010057
V,6105,0.044334
PT,5853,0.042504
MC,16185,0.117536
M,45968,0.333822
PA+PRI+PRD,2527,0.018351
PAN+PRI,1136,0.008249
PAN+PRD,103,0.000747
PRI+PRD,104,0.000755
V+PT+M,2361,0.017145
V+PT,313,0.002273
V+M,521,0.003783
PT+M,762,0.005533
