,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
244,Sección 1445,136,12,0,19,24,58,274,8,0,0,0,25,2,4,4,1,5,572
245,Sección 1446,117,7,1,11,11,59,279,1,0,0,0,15,1,4,4,0,5,515
246,Sección 1447,181,7,3,20,15,39,340,5,5,0,0,28,2,2,4,0,2,653
247,Sección 1448,139,11,3,7,9,36,154,7,2,0,0,17,0,2,1,0,8,396
248,Sección 1449,269,32,1,19,12,57,386,10,3,1,0,28,0,7,3,0,17,845
249,Sección 1450,124,11,4,24,29,61,455,9,2,0,0,31,4,4,3,0,4,765
250,Sección 1451,77,5,2,17,14,43,437,3,3,0,0,24,0,5,9,0,8,647
251,Sección 1452,101,1,6,24,23,37,337,2,0,0,15,8,1,0,2,2,11,570
252,Sección 1453,116,4,0,21,23,57,316,6,3,0,0,32,0,5,7,0,10,600
253,Sección 1454,102,13,0,7,9,51,274,12,3,0,0,21,0,4,2,0,3,501
254,Sección 1455,132,10,3,14,9,37,220,9,3,0,0,20,1,1,5,1,10,475
255,Sección 1456,119,13,2,18,12,44,307,8,0,0,0,41,0,0,0,0,8,572
256,Sección 1457,121,8,1,20,16,46,249,7,0,1,0,20,3,2,4,0,8,506
257,Sección 1458,171,21,0,14,19,68,258,14,0,0,0,39,1,4,2,0,10,621
258,Sección 1459,136,21,0,11,10,39,301,7,1,0,0,12,0,1,3,0,11,553
259,Sección 1460,115,12,1,16,13,71,418,4,2,0,0,23,0,5,6,1,10,697
260,Sección 1461,180,12,3,9,20,51,329,3,1,0,0,15,0,4,4,1,6,638
261,Sección 1462,174,19,4,17,16,60,307,16,3,1,0,18,0,1,0,1,16,653
262,Sección 1463,199,10,1,22,18,60,384,12,3,0,0,20,2,7,3,1,8,750
263,Sección 1464,162,7,0,5,3,61,353,9,2,2,8,24,3,7,2,0,15,663
264,Sección 1465,198,17,2,22,16,58,313,7,2,3,0,21,1,5,3,1,11,680
265,Sección 1466,207,23,2,16,13,57,318,7,3,0,0,13,2,0,17,1,13,692
266,Sección 1467,69,6,0,11,6,27,194,2,0,0,0,0,0,19,0,0,4,338
267,Sección 1468,95,13,0,6,4,26,180,4,0,0,0,12,0,2,2,0,9,353
268,Sección 1469,79,9,3,8,2,32,177,3,1,0,0,8,0,1,4,0,9,336
269,Sección 1470,84,7,2,8,8,21,134,3,4,0,0,13,1,2,3,1,4,295
270,Sección 1471,157,27,2,21,21,70,395,11,6,0,0,23,1,4,3,2,8,751
271,Sección 1472,96,10,2,13,9,42,234,8,1,0,0,13,2,8,5,0,10,453
272,Sección 1473,136,12,5,27,21,55,506,2,1,1,0,13,0,3,3,0,13,798
273,Sección 1474,30,0,2,5,6,16,140,2,1,1,0,10,0,0,1,0,4,218
274,Sección 1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Sección 1476,31,2,0,9,3,16,76,0,0,0,0,5,1,1,1,0,4,149
276,Sección 1477,159,11,1,25,17,69,447,8,1,0,0,30,4,3,3,0,25,803
277,Sección 1478,71,5,2,6,9,38,256,6,0,1,0,19,1,3,3,0,4,424
278,Sección 1479,144,9,2,20,21,45,348,11,2,0,0,21,0,2,5,0,6,636
279,Sección 1480,119,10,2,12,15,40,249,0,0,0,0,9,3,1,1,0,6,467
280,Sección 1481,70,22,2,10,14,34,254,2,0,0,0,12,2,4,0,0,14,440
281,Sección 1482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,Sección 1483,41,7,1,4,5,19,113,0,0,1,0,6,1,2,0,0,3,203
283,Sección 1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Sección 1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,Sección 1486,70,7,1,7,8,28,214,3,0,0,0,12,0,0,3,0,5,358
286,Sección 1487,156,11,2,15,18,59,344,10,0,1,0,27,0,6,3,1,10,663
287,Sección 1488,203,22,2,27,25,97,474,15,4,0,0,35,1,5,5,1,4,920
288,Sección 1489,80,7,0,18,12,33,175,6,2,0,0,18,0,5,2,0,5,363
289,Sección 1490,46,9,1,4,2,12,91,3,2,0,0,4,0,4,0,2,2,182
290,Sección 1491,52,1,2,4,6,8,124,0,0,0,0,1,0,0,0,1,1,200
