,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
119,Sección 1202,20,183,11,153,44,63,305,2,5,0,0,14,3,4,1,9,30,847
120,Sección 1203,32,255,12,274,48,89,375,7,2,0,10,6,2,7,5,1,80,1205
121,Sección 1204,14,152,5,158,48,33,623,1,1,0,0,1,0,1,0,4,12,1053
122,Sección 1205,20,124,21,45,67,27,203,2,0,0,0,2,2,3,0,0,76,592
123,Sección 1206,6,147,2,91,12,24,1,0,0,0,0,0,0,0,0,1,12,296
124,Sección 1344,81,128,6,96,27,20,166,12,22,2,0,18,5,10,3,0,75,671
125,Sección 1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Sección 1346,60,291,18,68,38,51,373,6,1,1,1,3,2,0,3,1,83,1000
127,Sección 1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Sección 1348,3,11,0,18,3,6,57,0,0,0,0,0,1,0,0,0,8,107
129,Sección 1349,26,33,4,52,13,21,133,4,0,0,0,3,2,5,2,0,22,320
130,Sección 1350,38,57,5,25,24,7,134,16,4,1,0,14,5,3,3,0,29,365
131,Sección 1351,22,86,6,67,34,27,145,12,3,0,3,12,4,6,5,1,39,472
132,Sección 1352,4,53,5,100,26,27,257,2,14,0,0,7,3,3,3,0,49,553
133,Sección 1353,15,22,0,15,11,8,71,6,1,2,0,2,1,0,6,0,18,178
134,Sección 1354,21,70,5,62,25,24,238,6,1,0,1,1,3,6,7,0,49,519
135,Sección 1355,40,65,7,143,29,25,219,14,1,0,0,14,2,10,3,0,67,639
136,Sección 1356,21,46,6,41,16,20,148,1,4,0,1,11,3,4,1,0,26,349
137,Sección 1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Sección 1358,39,41,6,74,16,34,193,7,0,1,0,16,1,4,8,0,51,491
139,Sección 1359,20,58,5,98,28,45,266,4,2,0,2,16,1,18,10,0,49,622
140,Sección 1360,25,41,5,60,18,30,229,5,2,0,0,8,0,5,3,0,50,481
141,Sección 1361,12,57,6,68,26,48,312,11,2,0,0,28,8,11,6,0,34,629
142,Sección 1362,32,57,7,69,21,72,277,8,3,0,0,22,3,11,11,0,31,624
143,Sección 1363,7,15,10,37,17,24,158,0,0,0,0,8,0,4,0,0,30,310
144,Sección 1364,22,36,3,72,21,26,275,5,3,0,0,15,6,10,10,6,29,539
145,Sección 1365,15,22,4,26,15,15,169,0,2,0,0,12,0,0,1,0,15,296
146,Sección 1366,16,20,6,40,33,42,265,7,0,0,0,18,5,1,3,0,37,493
147,Sección 1368,21,41,3,24,11,8,79,2,2,0,0,6,3,2,0,0,13,215
148,Sección 1372,21,40,3,49,20,37,183,2,1,2,0,7,2,6,8,1,20,402
149,Sección 1377,28,30,10,73,22,30,282,4,0,0,0,12,2,15,0,0,42,550
150,Sección 1378,64,58,9,131,42,87,844,13,2,0,0,49,4,13,9,0,28,1353
151,Sección 1379,15,16,5,25,12,22,234,0,0,0,0,1,5,0,1,0,7,343
152,Sección 1380,19,39,9,100,21,48,378,7,2,0,0,14,2,13,7,1,16,676
153,Sección 1381,24,41,6,115,37,75,510,5,1,1,1,31,7,11,12,1,28,906
154,Sección 1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Sección 1383,24,13,3,41,15,34,232,2,1,1,0,23,0,8,4,0,10,411
156,Sección 1384,87,99,15,165,62,173,1186,10,4,1,1,66,7,16,19,3,55,1969
157,Sección 1389,31,25,9,35,21,28,331,5,0,0,1,9,5,16,3,0,18,537
158,Sección 1393,97,55,5,77,28,40,431,6,1,1,0,34,1,6,7,0,49,838
159,Sección 1396,31,37,0,88,22,48,375,0,0,0,0,0,0,4,0,0,32,637
160,Sección 1397,58,61,5,161,34,71,848,3,2,1,21,28,2,12,9,0,46,1362
161,Sección 1398,66,58,13,113,35,46,437,13,0,0,0,31,3,9,5,0,54,883
162,Sección 1755,81,132,30,401,466,201,370,15,1,0,1,23,5,10,6,0,35,1777
163,Sección 1756,8,17,4,94,127,21,25,3,0,0,0,4,0,3,0,0,8,314
164,Sección 1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Sección 1758,36,51,7,231,204,41,105,6,0,1,0,17,2,6,9,0,27,743
166,Sección 1759,12,20,4,119,113,20,137,3,4,0,0,8,4,2,2,0,15,463
167,Sección 1760,5,8,1,75,130,18,45,0,0,0,0,4,3,1,0,0,3,293
168,Sección 1761,28,30,7,189,212,41,99,2,0,0,0,5,5,5,5,0,25,653
169,Sección 1762,12,14,9,183,149,27,137,1,0,0,0,12,2,7,4,7,6,570
170,Sección 1763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Sección 1764,51,59,14,350,324,125,329,7,0,0,0,19,6,6,5,0,28,1323
172,Sección 1765,57,55,10,160,326,124,256,7,1,1,0,21,12,9,10,3,30,1082
173,Sección 1766,25,23,8,122,133,26,105,2,0,0,0,7,3,7,7,0,19,487
174,Sección 1767,57,69,6,173,330,58,120,8,2,1,0,14,6,6,4,0,40,894
175,Sección 1768,25,21,6,113,150,12,90,0,0,0,0,0,1,1,3,0,11,433
176,Sección 1769,41,45,7,151,245,53,189,0,3,0,10,0,6,8,0,0,23,781
177,Sección 1770,74,93,7,339,420,111,329,6,2,1,1,28,9,8,8,1,37,1474
178,Sección 1812,27,34,7,278,27,71,481,6,0,0,0,16,3,11,3,1,12,977
179,Sección 1813,53,63,15,434,29,109,685,7,0,0,0,13,5,7,3,1,24,1448
180,Sección 1814,32,34,4,345,22,102,497,3,0,0,0,22,1,5,4,0,26,1097
181,Sección 1815,64,79,7,432,41,138,815,8,0,0,0,15,2,5,6,0,39,1651
182,Sección 1816,0,18,0,78,0,58,100,23,0,0,0,195,0,0,0,0,18,490
183,Sección 1817,25,30,10,170,12,38,314,6,1,0,0,3,1,2,0,0,18,630
184,Sección 1818,17,12,3,149,13,47,168,0,0,0,0,1,3,1,0,0,19,433
185,Sección 1819,27,47,6,257,8,40,285,0,0,0,0,8,0,3,0,0,30,711
186,Sección 1820,6,3,1,73,3,44,45,0,0,0,22,405,1,1,0,0,15,619
187,Sección 1821,25,14,5,492,15,70,584,0,0,0,0,2,10,2,3,1,47,1270
188,Sección 1822,22,38,10,236,11,54,242,1,0,0,0,6,0,0,0,0,19,639
189,Sección 1823,20,22,5,536,19,30,504,0,0,0,0,0,0,0,0,0,26,1162
