,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
250,Sección 1687,0,140,0,6,14,47,158,4,0,0,0,6,0,0,0,0,3,378
251,Sección 1688,20,261,6,13,32,79,373,0,2,0,0,17,1,2,4,0,23,833
252,Sección 1689,12,310,5,30,43,90,388,7,0,0,0,13,1,5,10,0,25,939
253,Sección 1690,7,95,1,6,9,45,116,1,4,0,0,10,0,1,0,0,16,311
254,Sección 1691,6,251,4,12,16,33,397,2,0,0,0,2,2,2,4,0,20,751
255,Sección 1692,3,69,3,6,12,20,110,2,0,0,2,8,2,0,1,1,3,242
256,Sección 1693,1,53,2,6,14,21,138,1,0,0,0,3,1,1,1,0,7,249
257,Sección 1694,0,107,0,0,0,22,256,0,0,0,0,0,0,0,0,0,8,393
258,Sección 1695,1,92,1,8,15,14,175,1,0,0,0,14,1,2,5,0,12,341
259,Sección 1696,1,124,1,10,14,33,237,0,0,0,0,0,0,0,0,0,0,420
260,Sección 1697,5,116,3,14,18,17,209,1,1,1,0,10,3,1,4,1,11,415
261,Sección 1698,2,154,1,6,4,5,175,0,0,0,0,0,0,0,0,0,13,360
262,Sección 1699,4,310,2,12,31,35,119,1,2,0,0,5,2,1,1,0,24,549
263,Sección 1700,33,263,2,20,75,52,561,4,1,0,3,17,3,1,8,0,27,1070
264,Sección 1701,0,0,0,0,0,27,0,60,0,0,0,181,0,0,0,0,3,271
265,Sección 1702,6,70,1,1,6,27,123,2,0,0,0,0,0,0,0,1,5,242
266,Sección 1703,1,50,2,6,6,8,72,1,1,0,0,2,0,1,0,0,3,153
267,Sección 1704,4,58,2,4,2,14,39,0,0,0,0,2,0,0,2,0,2,129
268,Sección 1705,0,33,1,6,4,9,92,2,0,0,0,5,0,0,0,0,0,152
269,Sección 1706,0,31,0,1,2,5,34,0,0,0,0,1,0,0,0,0,1,75
270,Sección 1707,4,52,1,5,9,5,69,2,0,0,2,2,0,0,0,0,4,155
271,Sección 1708,1,73,0,0,8,15,200,0,0,0,0,4,0,1,3,1,1,307
272,Sección 1709,5,112,2,6,8,18,143,2,0,0,0,1,2,1,1,0,6,307
273,Sección 1710,7,99,3,5,18,15,189,1,1,0,1,7,0,0,3,0,10,359
274,Sección 1883,97,88,12,12,30,179,205,25,1,0,0,16,19,0,4,5,23,716
275,Sección 1884,72,69,4,9,27,185,277,8,0,0,0,26,0,0,5,1,13,696
276,Sección 1885,26,24,3,3,8,80,77,5,1,1,0,3,3,2,1,10,9,256
277,Sección 1886,55,46,4,20,24,143,145,14,2,0,1,13,2,2,2,2,12,487
278,Sección 1887,97,111,7,14,25,204,245,17,2,0,0,25,2,0,5,0,16,770
279,Sección 1888,68,38,2,9,18,89,148,14,1,1,0,8,1,1,4,2,3,407
280,Sección 1889,66,45,6,16,23,168,209,6,0,0,0,25,3,4,4,1,9,585
281,Sección 1890,29,24,1,8,11,95,128,5,0,0,0,12,2,2,4,2,10,333
282,Sección 1891,75,53,8,13,25,176,196,15,1,1,1,28,0,4,2,0,4,602
283,Sección 1892,71,80,2,11,23,167,203,18,6,0,0,20,0,2,3,1,11,618
284,Sección 1893,30,28,2,12,18,91,145,5,0,0,0,13,2,1,0,0,7,354
285,Sección 1894,35,40,5,15,16,124,180,17,0,0,0,10,2,2,2,6,10,464
286,Sección 1895,28,28,1,11,8,77,124,1,2,0,0,14,2,0,0,0,3,299
287,Sección 1896,47,59,4,14,17,138,175,11,2,1,0,14,2,4,5,0,1,494
288,Sección 1897,31,36,1,8,16,86,135,1,0,0,1,10,0,2,3,0,5,335
289,Sección 1898,26,24,3,3,8,80,77,5,1,1,0,3,3,2,1,10,9,256
290,Sección 1899,105,89,5,14,18,148,195,22,1,0,0,16,0,5,3,4,6,631
291,Sección 1900,101,89,7,14,19,162,195,22,3,1,0,17,1,1,5,2,9,648
292,Sección 1901,100,66,13,8,19,112,160,32,0,0,0,8,36,1,2,1,15,573
293,Sección 1902,43,37,3,9,8,98,91,10,0,0,1,10,1,0,4,1,5,321
294,Sección 1903,64,51,7,20,13,109,98,19,0,0,0,9,0,1,6,1,5,403
295,Sección 1904,95,60,2,13,16,144,171,23,0,0,0,6,13,0,0,6,7,556
296,Sección 1905,131,110,6,13,30,217,284,34,3,0,0,34,0,4,7,4,19,896
297,Sección 1906,86,50,5,15,14,173,196,15,1,0,0,16,0,2,1,3,14,591
298,Sección 1907,107,63,5,13,9,146,157,8,4,0,0,6,0,1,3,2,5,529
299,Sección 1908,92,90,12,13,29,239,241,13,0,0,0,24,0,4,5,4,11,777
300,Sección 1909,18,11,0,1,4,25,38,4,0,0,0,9,0,2,1,1,0,114
301,Sección 1927,14,14,4,5,9,46,85,3,0,0,0,8,0,0,0,0,4,192
302,Sección 1928,80,71,3,30,34,299,408,5,1,0,1,32,0,3,4,2,15,988
303,Sección 1929,40,81,3,30,28,155,339,13,2,0,0,25,2,2,2,0,20,742
304,Sección 1930,468,210,12,15,22,165,215,54,8,3,0,20,0,0,2,0,12,1206
305,Sección 1931,84,90,8,22,30,268,336,25,2,0,0,36,1,13,4,3,10,932
306,Sección 1932,113,153,15,36,57,269,383,38,8,0,0,40,3,11,6,0,16,1148
307,Sección 1933,38,127,6,23,71,169,325,18,6,0,0,15,8,12,17,1,25,861
308,Sección 1934,39,92,12,51,81,220,278,4,2,2,0,19,5,6,22,0,45,878
309,Sección 1935,133,115,9,30,30,239,340,27,3,2,0,35,0,4,2,0,17,986
310,Sección 1936,224,195,22,54,59,330,563,40,4,3,2,60,10,5,9,0,21,1601
311,Sección 1942,11,33,1,5,13,32,55,5,1,1,0,4,2,0,0,0,3,166
312,Sección 1943,33,34,6,16,17,145,209,5,1,1,0,15,0,1,0,0,8,491
313,Sección 1944,70,61,7,24,29,203,284,11,1,1,0,17,3,1,10,3,4,729
314,Sección 1945,57,58,8,16,23,93,190,138,5,0,0,17,0,0,6,6,4,621
315,Sección 1946,20,29,2,10,10,207,226,41,40,16,0,17,13,3,11,6,14,665
316,Sección 1947,72,61,10,34,25,208,286,12,3,0,0,28,0,3,3,1,20,766
317,Sección 1948,82,70,7,42,44,303,397,22,2,0,0,30,1,4,7,1,20,1032
