,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
137,Sección 1038,10,133,21,83,599,30,587,0,0,0,0,12,0,1,0,6,13,1495
138,Sección 1039,7,35,2,58,374,15,471,0,0,0,0,0,0,0,0,0,21,983
139,Sección 1040,3,138,2,18,199,5,273,0,0,2,0,0,0,0,2,0,9,651
140,Sección 1041,1,37,8,13,131,6,198,0,0,0,0,7,0,0,4,0,8,413
141,Sección 1042,3,39,3,20,275,11,232,0,0,0,0,0,0,0,0,16,10,609
142,Sección 1043,1,13,4,10,105,6,109,1,1,0,0,2,5,1,3,0,5,266
143,Sección 1044,4,25,4,11,217,8,212,1,0,0,0,2,0,5,1,0,7,497
144,Sección 1045,4,86,3,41,426,12,484,2,2,0,0,15,8,3,10,0,23,1119
145,Sección 1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Sección 1047,0,8,1,4,165,8,198,0,0,0,0,5,0,0,0,0,3,392
147,Sección 1048,3,112,4,30,189,16,337,2,0,0,0,6,1,1,3,0,8,712
148,Sección 1049,6,47,7,32,184,6,193,0,1,0,1,8,1,0,5,0,23,514
149,Sección 1339,25,35,163,103,123,93,1021,1,0,1,0,35,11,16,11,0,61,1699
150,Sección 1340,36,40,42,54,56,358,261,0,0,0,0,4,5,2,2,1,5,866
151,Sección 1341,27,24,133,79,98,57,641,2,0,0,1,36,3,8,2,5,52,1168
152,Sección 1342,32,64,174,73,141,59,924,2,0,0,1,7,3,2,3,0,35,1520
153,Sección 1344,16,25,146,65,78,40,586,4,0,0,3,30,5,3,7,0,41,1049
154,Sección 1345,7,18,59,15,6,9,160,0,0,0,0,0,0,0,0,0,21,295
155,Sección 1346,6,12,37,11,14,13,181,0,0,0,1,9,1,3,3,0,6,297
156,Sección 1347,2,13,43,24,34,20,331,1,0,2,0,20,6,4,7,0,23,530
157,Sección 1348,10,11,26,16,10,2,130,0,0,0,0,0,3,3,4,0,6,221
158,Sección 1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Sección 1350,1,3,4,20,2,133,0,0,0,0,0,5,1,1,4,0,9,183
160,Sección 1351,1,0,7,12,12,4,119,0,0,0,0,1,1,1,1,0,3,162
161,Sección 1352,9,4,49,22,45,3,245,0,0,0,0,0,0,0,0,0,0,377
162,Sección 1353,4,7,45,22,8,25,219,0,0,0,0,8,0,0,0,0,19,357
163,Sección 1354,3,7,10,7,15,3,121,0,0,0,0,6,0,0,0,0,8,180
164,Sección 1355,0,0,0,0,0,13,287,59,0,0,0,0,0,0,0,0,8,367
165,Sección 1356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Sección 1357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Sección 1565,9,27,84,227,40,45,373,4,0,0,0,15,5,5,5,0,35,874
168,Sección 1566,7,10,25,79,27,34,190,1,0,0,0,1,0,3,1,0,15,393
169,Sección 1567,12,23,50,183,40,31,296,1,0,0,0,6,2,3,3,0,49,699
170,Sección 1568,12,20,37,184,27,15,287,0,0,0,1,4,0,4,2,1,85,679
171,Sección 1569,11,17,60,185,33,52,205,0,0,0,0,1,2,2,2,0,13,583
172,Sección 1570,8,13,40,134,24,10,136,0,0,0,0,6,0,1,1,0,7,380
173,Sección 1571,1,17,24,77,12,4,133,1,0,0,0,2,2,1,1,0,22,297
174,Sección 1572,1,4,49,95,13,16,194,0,0,0,1,5,1,1,1,0,24,405
175,Sección 1573,4,11,29,108,15,2,165,1,0,1,0,4,2,1,0,0,12,355
176,Sección 1574,45,11,11,98,13,6,84,0,0,0,0,0,0,0,0,0,9,277
177,Sección 1575,5,10,104,213,47,36,312,0,0,0,0,6,21,3,2,0,21,780
178,Sección 1654,17,96,8,264,33,100,440,7,1,2,4,24,3,16,5,1,39,1060
179,Sección 1655,13,42,6,168,24,52,201,1,1,0,0,28,0,6,1,2,13,558
180,Sección 1656,23,47,11,169,40,70,208,10,1,1,1,22,4,2,5,0,21,635
181,Sección 1657,12,48,8,102,23,70,324,12,1,0,0,19,5,5,3,0,15,647
182,Sección 1658,16,48,7,74,22,32,172,4,1,0,1,8,1,5,2,0,9,402
183,Sección 1659,22,34,4,71,19,179,142,4,0,0,14,20,0,0,0,0,19,528
184,Sección 1660,1,45,7,101,5,36,95,3,0,0,2,3,1,2,2,0,13,316
185,Sección 1661,8,76,2,106,24,50,303,49,0,0,0,0,0,0,0,0,12,630
186,Sección 1662,45,24,11,34,11,67,164,1,0,0,0,3,0,0,1,0,17,378
187,Sección 1663,2,14,1,92,15,117,87,0,0,0,0,1,0,0,1,0,25,355
