,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
394,Sección 1469,48,48,1,25,25,52,496,2,1,1,0,19,4,4,4,0,6,736
395,Sección 1470,8,19,0,3,7,15,116,0,1,0,0,4,1,3,4,0,2,183
396,Sección 1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
397,Sección 1472,55,61,4,33,34,93,403,9,0,0,0,44,0,2,4,1,21,764
398,Sección 1473,51,78,8,33,62,97,564,9,1,0,2,28,2,5,6,0,28,974
399,Sección 1474,9,17,1,14,8,22,157,0,0,0,0,17,1,8,4,0,6,264
400,Sección 1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Sección 1476,27,18,2,22,19,41,240,1,0,0,0,11,1,2,2,0,12,398
402,Sección 1477,2646,872,57,252,189,558,3247,151,44,9,1,181,9,50,40,24,122,8452
403,Sección 1478,206,261,23,128,96,295,2030,23,6,0,13,119,11,35,10,4,45,3305
404,Sección 1479,7,6,0,12,9,11,96,0,0,0,0,0,0,0,0,0,4,145
405,Sección 1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406,Sección 1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Sección 1482,93,116,8,93,48,183,1067,13,4,0,1,56,1,17,11,2,15,1728
408,Sección 1483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,Sección 1484,26,41,4,20,17,43,364,1,0,0,0,25,0,12,7,0,5,565
410,Sección 1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,Sección 1486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Sección 1487,4,17,0,9,0,4,50,0,1,0,0,0,0,1,0,0,0,86
413,Sección 1488,3,12,1,6,3,8,64,1,0,0,0,3,4,0,0,0,2,107
414,Sección 1489,2,12,0,5,5,3,25,0,0,0,0,0,0,0,0,0,1,53
415,Sección 1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Sección 1491,0,6,0,5,0,6,25,0,0,0,0,0,0,0,0,0,1,43
417,Sección 1492,3,17,0,18,4,6,73,0,0,0,0,4,1,2,0,0,5,133
418,Sección 1493,6,34,2,8,11,10,108,3,0,0,0,6,0,2,0,0,5,195
419,Sección 1494,7,17,2,10,7,9,87,0,0,0,0,3,0,2,0,0,6,150
420,Sección 1495,6,21,2,17,12,9,115,1,0,0,0,2,0,4,0,0,2,191
421,Sección 1496,16,38,1,4,5,10,74,2,2,0,0,7,0,1,1,0,4,165
422,Sección 1497,17,52,4,17,9,22,141,2,1,0,0,8,1,4,1,0,2,281
423,Sección 1498,3,44,2,39,10,3,63,2,0,0,1,2,2,2,5,0,10,188
424,Sección 1499,2,17,0,4,3,4,58,0,0,0,0,3,0,1,0,1,0,93
425,Sección 1500,28,36,1,9,9,5,130,2,4,0,0,10,0,0,0,0,3,237
426,Sección 1501,31,30,3,5,6,7,66,0,3,0,0,6,0,0,0,0,6,163
427,Sección 1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,Sección 1503,10,22,3,22,6,33,208,1,1,0,0,8,2,5,2,0,9,332
429,Sección 1504,4,17,0,0,0,17,157,0,0,0,0,0,0,0,0,0,6,201
430,Sección 1505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Sección 1506,13,47,12,19,9,19,175,5,2,0,0,5,0,4,1,0,15,326
432,Sección 1507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Sección 1508,34,45,5,27,16,58,448,0,0,0,0,29,2,9,6,1,23,703
434,Sección 1509,11,37,1,14,15,24,580,0,0,0,0,0,0,0,0,0,11,693
435,Sección 1510,14,14,2,3,4,7,116,1,1,0,1,7,0,3,2,0,10,185
436,Sección 1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Sección 1512,68,109,3,58,36,122,569,13,2,0,1,43,2,11,3,1,12,1053
438,Sección 1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,Sección 1514,7,16,4,10,3,12,87,2,0,0,0,0,1,4,1,0,4,151
440,Sección 1515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Sección 1516,7,23,1,18,8,5,154,0,0,0,0,4,4,2,2,0,14,242
442,Sección 1517,2,9,0,8,0,5,39,0,0,0,0,0,0,0,0,0,1,64
443,Sección 1518,4,27,0,6,6,3,90,0,0,0,0,0,0,0,0,0,10,146
444,Sección 1519,3,25,0,11,10,6,48,0,1,0,0,0,0,0,0,0,0,104
445,Sección 1520,10,12,0,0,0,3,87,0,0,0,0,2,0,0,0,0,1,115
