,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
136,Sección 656,335,625,14,64,43,165,722,30,9,0,1,63,5,6,9,3,24,2118
137,Sección 657,49,214,5,26,17,45,273,4,2,0,0,17,3,1,8,0,15,679
138,Sección 658,124,392,14,68,27,120,467,20,3,0,0,36,3,3,4,1,13,1295
139,Sección 659,38,270,4,46,39,87,366,9,6,0,0,21,1,3,4,1,18,913
140,Sección 660,42,277,8,85,106,94,688,2,6,0,0,40,6,7,11,0,23,1395
141,Sección 661,39,411,15,105,65,144,869,12,3,1,0,56,4,9,11,8,24,1776
142,Sección 662,33,199,3,38,27,66,331,2,0,0,0,27,2,1,4,1,14,748
143,Sección 663,813,1807,107,268,179,614,2479,77,24,1,1,105,9,30,26,8,109,6657
144,Sección 666,2,117,1,6,5,4,80,0,0,0,0,3,0,1,4,0,4,227
145,Sección 667,1,78,1,5,8,2,54,0,0,0,0,0,1,1,0,1,3,155
146,Sección 669,32,109,2,10,25,5,118,0,0,0,2,3,2,1,2,0,1,312
147,Sección 670,3,89,1,7,20,1,58,0,1,0,0,0,1,4,4,0,2,191
148,Sección 671,5,105,8,19,11,6,102,0,1,0,0,8,0,0,1,0,3,269
149,Sección 673,9,310,2,32,48,10,240,2,0,1,0,7,4,3,2,0,26,696
150,Sección 674,2,69,0,7,6,2,61,0,0,0,0,3,0,1,0,0,6,157
151,Sección 676,2,175,0,9,17,2,80,0,0,0,0,0,0,0,0,0,7,292
152,Sección 677,2,110,1,12,13,4,118,0,0,0,0,9,1,0,1,0,8,279
153,Sección 679,0,64,0,2,7,1,12,0,1,0,0,0,0,1,0,0,5,93
154,Sección 680,2,78,0,1,7,4,45,0,0,0,0,1,0,0,0,0,1,139
155,Sección 681,4,97,1,3,10,1,38,1,0,0,0,2,1,0,3,0,6,167
156,Sección 682,5,63,0,4,3,2,25,0,0,1,0,0,3,2,1,0,2,111
157,Sección 683,2,100,0,8,26,5,53,0,0,0,0,1,1,0,0,0,5,201
158,Sección 684,3,105,0,8,12,3,68,0,2,0,0,4,1,0,0,0,10,216
159,Sección 685,15,57,3,18,18,24,134,2,0,0,0,10,2,2,1,0,9,295
160,Sección 686,8,55,1,3,11,10,106,2,0,0,0,5,2,1,3,0,3,210
161,Sección 687,3,51,1,6,21,7,39,0,0,0,0,3,0,1,6,0,5,143
162,Sección 688,65,694,29,240,115,211,1271,10,4,1,2,107,12,10,16,1,61,2849
163,Sección 689,4,61,0,1,3,3,33,0,0,0,0,2,0,1,2,0,6,116
164,Sección 690,2,54,1,2,6,3,67,0,0,0,0,0,1,0,0,0,3,139
165,Sección 1470,8,469,2,7,22,11,423,1,1,0,0,12,5,4,4,0,16,985
166,Sección 1471,2,236,1,5,13,8,207,1,0,0,0,6,2,2,1,0,8,492
167,Sección 1472,4,157,0,0,8,7,142,2,0,0,0,3,0,0,1,0,0,324
168,Sección 1473,3,212,1,11,10,5,118,5,0,0,0,5,1,5,0,0,11,387
169,Sección 1474,1,145,0,3,4,1,83,3,0,0,0,0,0,0,0,0,3,243
170,Sección 1475,9,312,1,17,109,28,448,0,2,0,0,20,2,1,20,0,14,983
171,Sección 1476,10,383,0,12,134,19,376,160,4,0,0,10,19,2,21,0,15,1165
172,Sección 1477,0,69,1,5,57,3,143,0,0,0,0,2,0,0,0,0,5,285
173,Sección 1478,1,118,0,12,32,11,269,0,1,0,0,14,2,1,7,0,3,471
174,Sección 1479,2,152,1,13,35,14,361,2,1,0,0,5,0,0,0,0,7,593
175,Sección 1480,0,165,1,11,12,1,182,1,1,0,2,5,4,2,0,0,7,394
176,Sección 1481,0,72,0,10,26,9,146,1,0,0,0,4,1,0,4,0,7,280
177,Sección 1482,0,93,2,7,15,8,174,0,0,0,0,6,3,1,3,0,9,321
178,Sección 1483,3,85,0,4,18,1,133,0,0,0,0,5,0,0,1,0,4,254
179,Sección 1484,0,225,1,5,54,5,365,3,1,0,0,14,1,0,5,0,13,692
180,Sección 1485,5,239,1,13,16,8,267,0,1,0,0,15,0,5,6,0,13,589
181,Sección 1486,1,121,2,14,2,4,77,0,0,0,0,3,0,4,2,0,7,237
182,Sección 1488,0,48,1,1,9,7,71,0,1,0,0,3,1,1,0,0,2,145
183,Sección 1489,2,177,0,16,60,10,218,2,2,0,0,7,0,1,14,0,8,517
184,Sección 1490,4,320,2,30,24,11,731,1,4,0,0,13,2,9,13,0,21,1185
185,Sección 1491,4,509,3,27,30,18,510,0,1,0,0,12,0,3,4,0,21,1142
186,Sección 1492,5,289,2,11,26,12,480,2,0,0,0,31,0,0,0,0,17,875
187,Sección 1493,0,187,0,12,0,5,200,1,0,0,0,7,0,3,9,0,11,435
188,Sección 1494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Sección 1495,1,55,1,1,1,0,26,0,0,0,0,0,0,0,0,0,0,85
190,Sección 1496,2,53,0,2,0,3,70,0,0,0,0,1,0,0,1,0,2,134
191,Sección 1497,4,121,1,21,3,4,126,2,0,0,0,1,0,4,0,0,6,293
192,Sección 1717,5,95,3,38,20,30,265,2,1,0,1,12,1,3,3,0,6,485
193,Sección 1718,22,237,9,87,73,77,755,2,0,0,0,24,0,4,7,0,26,1323
194,Sección 1719,14,260,38,154,45,45,588,7,1,3,9,37,8,6,15,0,19,1249
195,Sección 1720,15,266,29,93,58,102,635,2,3,0,0,54,3,5,8,2,26,1301
196,Sección 1721,20,249,9,92,59,92,640,3,0,0,1,28,4,7,9,0,23,1236
197,Sección 1722,32,291,42,94,67,64,573,4,0,0,15,34,2,3,8,1,35,1265
198,Sección 1723,10,162,7,87,33,52,413,4,1,0,0,13,1,9,1,0,13,806
199,Sección 1724,28,205,8,72,46,84,589,3,1,0,0,28,2,6,7,0,21,1100
200,Sección 1725,23,246,25,95,46,128,658,6,2,0,0,34,3,8,8,3,21,1306
201,Sección 1726,15,205,21,111,46,69,623,6,1,0,1,35,2,9,12,0,30,1186
202,Sección 1727,15,188,10,66,38,52,382,76,2,0,1,178,2,3,5,0,20,1038
203,Sección 1818,53,299,13,64,45,101,548,11,6,0,1,30,1,11,6,0,24,1213
204,Sección 1819,183,408,13,55,29,109,412,8,4,0,0,14,0,6,8,1,11,1261
205,Sección 1820,144,367,6,52,41,124,475,23,1,0,1,37,1,5,7,3,15,1302
206,Sección 1821,40,356,22,67,55,139,768,5,4,0,0,40,3,12,15,2,16,1544
207,Sección 1822,413,471,8,33,15,70,206,39,6,0,0,9,0,1,3,8,11,1293
208,Sección 1823,29,276,12,72,55,102,630,7,6,0,0,28,1,6,8,2,12,1246
209,Sección 1824,21,285,19,65,43,73,568,6,3,0,2,25,5,4,16,2,22,1159
