,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
84,Sección 375,57,64,5,39,80,69,631,1,0,0,0,33,6,4,4,1,33,1027
85,Sección 376,12,40,3,14,45,39,192,57,2,0,0,293,1,2,7,0,14,721
86,Sección 377,85,89,13,63,128,86,707,3,2,0,0,65,5,8,14,2,36,1306
87,Sección 378,96,58,16,67,211,225,706,12,0,0,0,46,6,4,15,2,15,1479
88,Sección 379,161,85,11,134,285,355,907,12,4,0,0,59,4,10,11,5,28,2071
89,Sección 381,61,38,12,92,230,214,746,11,1,1,0,33,5,8,15,0,26,1493
90,Sección 382,74,40,11,55,264,183,606,6,0,1,0,18,2,9,17,1,17,1304
91,Sección 383,85,26,12,44,264,219,719,2,0,0,0,23,4,2,3,1,32,1436
92,Sección 384,106,46,26,81,268,214,677,7,4,0,0,50,5,8,14,6,18,1530
93,Sección 385,9,10,3,28,53,54,182,0,0,0,0,10,0,0,0,0,10,359
94,Sección 386,88,81,16,94,275,375,728,11,1,0,12,50,6,7,11,0,20,1775
95,Sección 387,70,69,14,87,140,146,735,10,1,0,19,52,5,7,19,0,15,1389
96,Sección 388,58,47,6,57,101,126,561,10,1,0,0,46,3,9,15,0,15,1055
97,Sección 389,23,31,4,20,48,64,219,6,1,0,0,10,1,6,5,0,10,448
98,Sección 390,6,12,5,21,0,34,209,2,1,0,0,14,3,0,3,0,4,314
99,Sección 391,22,97,17,68,124,209,543,1,2,0,0,23,0,1,8,0,37,1152
100,Sección 392,42,90,39,60,117,228,714,11,1,0,0,47,8,5,11,1,36,1410
101,Sección 393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Sección 394,55,71,18,64,182,168,726,5,1,0,2,54,14,2,16,2,25,1405
103,Sección 395,47,57,14,94,230,199,876,7,0,0,0,51,5,1,9,154,30,1774
