,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
128,Sección 1273,14,66,5,51,25,17,247,1,0,0,0,6,0,5,1,1,14,453
129,Sección 1274,9,30,3,29,35,11,234,0,0,0,0,1,1,3,1,0,15,372
130,Sección 1276,8,30,1,12,16,18,134,0,0,0,0,2,0,0,4,0,17,242
131,Sección 1277,26,26,4,11,12,8,112,0,0,0,0,4,1,2,2,0,8,216
132,Sección 1282,7,34,8,54,29,21,183,2,0,0,0,13,4,8,4,0,10,377
133,Sección 1285,19,25,5,61,36,28,221,2,1,0,0,13,4,3,5,0,20,443
134,Sección 1306,6,14,1,17,56,2,234,1,1,0,1,10,19,11,11,0,14,398
135,Sección 1307,1,2,0,11,19,6,104,0,0,0,0,8,1,0,3,2,3,160
136,Sección 1308,3,3,0,9,6,1,61,0,0,1,0,18,3,1,2,1,5,114
137,Sección 1309,1,11,1,6,5,7,72,0,0,0,0,3,1,3,0,0,2,112
138,Sección 1310,17,76,3,166,85,51,485,0,2,0,0,10,4,5,6,1,22,933
139,Sección 1311,14,21,2,114,29,26,304,2,1,0,0,25,3,0,24,0,8,573
140,Sección 1312,12,24,1,30,6,10,97,1,2,0,0,2,1,0,1,0,9,196
141,Sección 1313,21,39,3,53,12,11,109,2,1,0,0,1,3,0,0,0,19,274
142,Sección 1345,27,75,3,61,41,8,275,1,1,0,0,20,4,5,6,1,33,561
143,Sección 1346,7,53,5,17,11,3,134,0,1,0,0,1,1,2,2,0,17,254
144,Sección 1353,15,29,6,48,23,42,303,1,2,0,0,12,0,8,4,0,14,507
145,Sección 1361,22,22,21,51,63,24,249,1,1,2,2,4,2,2,4,0,43,513
146,Sección 1362,19,33,33,59,145,22,275,0,2,1,1,5,0,2,1,0,45,643
147,Sección 1396,9,8,4,40,53,17,299,1,0,0,0,42,1,3,9,1,22,509
148,Sección 1397,11,12,4,28,38,16,231,1,0,0,0,28,2,5,7,0,28,411
149,Sección 1417,15,35,3,45,32,21,261,0,0,0,1,7,4,2,1,1,24,452
150,Sección 1419,9,37,8,52,48,19,348,2,0,0,0,13,3,3,5,0,17,564
151,Sección 1420,15,32,4,36,53,24,288,0,1,0,0,8,3,0,2,4,15,485
152,Sección 1421,16,19,4,75,42,18,310,4,0,0,0,5,3,2,5,0,12,515
153,Sección 1431,41,113,11,81,145,131,610,4,0,1,0,27,4,14,7,2,32,1223
154,Sección 1432,30,69,6,82,123,85,562,4,1,4,0,23,9,7,9,0,35,1049
155,Sección 1433,33,76,7,78,175,102,517,2,2,0,1,16,1,4,8,2,19,1043
156,Sección 1434,37,104,3,85,138,81,417,3,1,0,0,22,4,4,8,0,24,931
157,Sección 1435,24,77,6,86,83,78,375,2,2,0,0,6,2,4,15,0,26,786
158,Sección 1436,18,115,7,105,152,103,420,3,0,0,0,20,6,1,1,0,15,966
159,Sección 1463,16,68,9,44,208,29,411,5,3,1,0,26,7,4,18,0,58,907
160,Sección 1464,8,40,9,23,100,18,159,2,1,0,0,8,2,2,1,0,25,398
161,Sección 1495,2,8,2,23,64,13,146,1,1,0,0,12,0,2,4,0,13,291
162,Sección 1511,3,11,1,17,32,3,215,0,0,0,0,7,0,0,4,2,3,298
163,Sección 1516,50,68,84,179,149,148,485,9,1,1,1,45,4,3,7,0,54,1288
164,Sección 1517,34,27,46,83,109,101,365,6,1,0,0,4,12,1,0,0,24,813
165,Sección 1518,67,74,159,178,235,186,889,10,0,0,0,36,3,3,8,0,57,1905
166,Sección 1519,84,123,176,222,393,329,1232,22,10,0,1,75,9,3,8,2,78,2767
167,Sección 1520,139,97,60,102,145,138,851,17,3,0,1,71,7,9,15,7,40,1702
168,Sección 1521,30,32,39,49,96,53,287,11,0,0,0,25,3,3,5,2,30,665
169,Sección 1522,53,104,98,181,315,193,695,13,2,1,2,36,10,8,15,2,53,1781
