,Sección,PAN,PRI,PRD,V,PT,MC,M,PA+PRI+PRD,PAN+PRI,PAN+PRD,PRI+PRD,V+PT+M,V+PT,V+M,PT+M,Candidaturas no registradas,Votos nulos,Total
231,Sección 1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,Sección 1881,12,18,3,4,5,20,8,0,0,0,0,2,0,0,0,0,4,76
233,Sección 2013,36,165,59,204,76,64,338,4,1,0,0,18,2,4,0,8,43,1022
234,Sección 2014,15,252,81,322,106,63,486,5,2,0,0,21,7,6,0,7,51,1424
235,Sección 2015,10,68,25,113,19,21,150,1,2,0,0,2,2,4,3,0,28,448
236,Sección 2017,8,62,37,242,26,18,259,0,1,1,0,20,2,16,3,0,33,728
237,Sección 2018,1,86,34,129,20,10,114,2,0,0,0,3,1,1,1,0,13,415
238,Sección 2019,25,157,89,72,75,56,343,3,3,0,1,14,2,5,2,0,44,891
239,Sección 2020,1,21,16,33,17,2,189,0,0,0,0,2,0,1,3,0,14,299
240,Sección 2021,10,23,26,17,31,25,194,0,2,0,0,7,0,0,0,0,20,355
241,Sección 2022,9,88,42,129,23,25,177,2,2,0,0,6,1,1,2,0,24,531
242,Sección 2023,3,32,32,57,27,14,175,1,1,0,1,4,2,2,1,0,26,378
243,Sección 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Sección 2075,13,35,30,19,227,35,103,2,2,1,1,19,3,2,11,0,32,535
245,Sección 2076,20,49,15,23,257,30,125,6,3,0,1,39,12,5,13,0,27,625
246,Sección 2077,16,23,17,20,153,45,85,6,1,0,1,21,3,3,6,0,18,418
247,Sección 2078,3,8,5,10,140,9,50,1,0,0,0,26,0,0,0,2,12,266
248,Sección 2079,19,40,27,44,272,81,189,6,1,4,0,50,15,2,15,0,30,795
249,Sección 2080,10,36,22,29,203,46,130,3,0,0,0,25,8,4,12,1,29,558
250,Sección 2081,27,43,9,25,255,55,167,5,1,0,1,33,8,1,11,0,45,686
251,Sección 2082,18,32,9,13,155,29,82,4,0,0,1,21,4,1,1,8,0,378
252,Sección 2083,13,45,14,21,175,57,170,8,4,0,0,33,3,4,9,1,21,578
253,Sección 2084,15,27,14,27,200,19,62,3,1,0,0,11,4,0,7,0,24,414
254,Sección 2085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,Sección 2086,60,73,33,78,461,138,205,13,3,2,3,73,18,4,27,11,54,1256
256,Sección 2087,4,25,8,18,163,10,49,0,3,0,0,20,12,0,6,0,23,341
257,Sección 2088,5,33,3,27,166,8,74,1,1,0,0,10,3,3,5,0,6,345
258,Sección 2089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,Sección 2090,15,17,13,19,110,29,69,0,0,0,1,11,9,1,5,0,22,321
