,Total de votos,Porcentaje
PAN,7440,0.048983
PRI,17062,0.112332
PRD,2312,0.015221
V,30200,0.19883
PT,18042,0.118784
MC,11721,0.077168
M,50974,0.335602
PA+PRI+PRD,1554,0.010231
PAN+PRI,275,0.00181
PAN+PRD,66,0.000434
PRI+PRD,154,0.001013
V+PT+M,2814,0.018526
V+PT,543,0.003575
V+M,785,0.005168
PT+M,721,0.004746
