,Total de votos,Porcentaje
PAN,38089,0.222134
PRI,5854,0.03414
PRD,520,0.003032
V,5833,0.034018
PT,5094,0.029708
MC,14825,0.086459
M,83651,0.487851
PA+PRI+PRD,2021,0.011786
PAN+PRI,709,0.004134
PAN+PRD,62,0.000361
PRI+PRD,60,0.000349
V+PT+M,8104,0.047262
V+PT,540,0.003149
V+M,1223,0.007132
PT+M,1081,0.006304
