,Total de votos,Porcentaje
PAN,105259,0.450471
PRI,10994,0.04705
PRD,2567,0.010985
V,4798,0.020533
PT,4244,0.018162
MC,18938,0.081048
M,68008,0.29105
PA+PRI+PRD,5040,0.021569
PAN+PRI,1411,0.006038
PAN+PRD,180,0.00077
PRI+PRD,80,0.000342
V+PT+M,4726,0.020225
V+PT,345,0.001476
V+M,913,0.003907
PT+M,866,0.003706
