,Total de votos,Porcentaje
PAN,48684,0.277754
PRI,6322,0.036068
PRD,872,0.004974
V,6222,0.035498
PT,4803,0.027402
MC,16894,0.096384
M,71749,0.409346
PA+PRI+PRD,3756,0.021428
PAN+PRI,905,0.005163
PAN+PRD,168,0.000958
PRI+PRD,89,0.000507
V+PT+M,7708,0.043976
V+PT,464,0.002647
V+M,1218,0.006949
PT+M,1445,0.008244
