,Total de votos,Porcentaje
PAN,11906,0.052149
PRI,47490,0.20801
PRD,1900,0.008322
V,16633,0.072853
PT,8499,0.037226
MC,32178,0.140942
M,89970,0.394076
PA+PRI+PRD,2367,0.010367
PAN+PRI,784,0.003433
PAN+PRD,68,0.000297
PRI+PRD,218,0.000954
V+PT+M,6369,0.027896
V+PT,691,0.003026
V+M,1522,0.006666
PT+M,1439,0.006302
