,Total de votos,Porcentaje
PAN,23338,0.134545
PRI,8160,0.047043
PRD,1640,0.009454
V,13456,0.077574
PT,10024,0.057789
MC,21819,0.125788
M,76869,0.443156
PA+PRI+PRD,2270,0.013086
PAN+PRI,525,0.003026
PAN+PRD,223,0.001285
PRI+PRD,76,0.000438
V+PT+M,6489,0.037409
V+PT,966,0.005569
V+M,1325,0.007638
PT+M,1366,0.007875
