,Total de votos,Porcentaje
PAN,14572,0.074308
PRI,21540,0.109841
PRD,1260,0.006425
V,8949,0.045634
PT,11225,0.05724
MC,23419,0.119423
M,98626,0.502934
PA+PRI+PRD,2580,0.013156
PAN+PRI,572,0.002916
PAN+PRD,244,0.001244
PRI+PRD,52,0.000265
V+PT+M,6484,0.033064
V+PT,379,0.001932
V+M,978,0.004987
PT+M,1094,0.005578
