,Total de votos,Porcentaje
PAN,4659,0.021955
PRI,20754,0.097801
PRD,5905,0.027826
V,29912,0.140958
PT,18677,0.088013
MC,13214,0.062269
M,102516,0.483098
PA+PRI+PRD,958,0.004514
PAN+PRI,131,0.000617
PAN+PRD,86,0.000405
PRI+PRD,427,0.002012
V+PT+M,4350,0.020499
V+PT,816,0.003845
V+M,1249,0.005885
PT+M,993,0.004679
