,Total de votos,Porcentaje
PAN,32577,0.201409
PRI,6665,0.041206
PRD,1233,0.007623
V,26403,0.163238
PT,3678,0.022739
MC,10708,0.066202
M,65469,0.404766
PA+PRI+PRD,2932,0.018127
PAN+PRI,426,0.002633
PAN+PRD,101,0.000624
PRI+PRD,75,0.000463
V+PT+M,5616,0.034721
V+PT,327,0.002021
V+M,1280,0.007913
PT+M,1104,0.006825
