,Total de votos,Porcentaje
PAN,15919,0.081009
PRI,12401,0.063107
PRD,2293,0.011668
V,66639,0.339117
PT,6816,0.034685
MC,15165,0.077172
M,60772,0.309261
PA+PRI+PRD,1200,0.006106
PAN+PRI,457,0.002325
PAN+PRD,100,0.000508
PRI+PRD,302,0.001536
V+PT+M,2852,0.014513
V+PT,803,0.004086
V+M,1288,0.006554
PT+M,685,0.003485
