,Total de votos,Porcentaje
PAN,10201,0.054193
PRI,9191,0.048827
PRD,1029,0.005466
V,6103,0.032422
PT,10227,0.054331
MC,29494,0.156687
M,103316,0.54887
PA+PRI+PRD,1346,0.00715
PAN+PRI,252,0.001338
PAN+PRD,312,0.001657
PRI+PRD,119,0.000632
V+PT+M,8204,0.043584
V+PT,801,0.004255
V+M,1118,0.005939
PT+M,1591,0.008452
