,Total de votos,Porcentaje
PAN,9432,0.077236
PRI,6086,0.049836
PRD,1006,0.008237
V,6192,0.050704
PT,5046,0.04132
MC,11534,0.094448
M,70950,0.58099
PA+PRI+PRD,1352,0.011071
PAN+PRI,292,0.002391
PAN+PRD,85,0.000696
PRI+PRD,105,0.000859
V+PT+M,4685,0.038364
V+PT,368,0.003013
V+M,981,0.008033
PT+M,959,0.007852
