,Total de votos,Porcentaje
PAN,10859,0.060025
PRI,18496,0.10224
PRD,12130,0.067051
V,14031,0.077559
PT,22814,0.126109
MC,21546,0.1191
M,57785,0.31942
PA+PRI+PRD,2159,0.011934
PAN+PRI,611,0.003377
PAN+PRD,180,0.000994
PRI+PRD,301,0.001663
V+PT+M,7217,0.039893
V+PT,1557,0.008606
V+M,972,0.005372
PT+M,1852,0.010237
