,Total de votos,Porcentaje
PAN,20626,0.100236
PRI,14417,0.070062
PRD,3632,0.01765
V,18602,0.0904
PT,24075,0.116997
MC,12626,0.061358
M,93212,0.452984
PA+PRI+PRD,684,0.003324
PAN+PRI,554,0.002692
PAN+PRD,153,0.000743
PRI+PRD,101,0.00049
V+PT+M,4350,0.021139
V+PT,686,0.003333
V+M,1132,0.005501
PT+M,1903,0.009248
