,Total de votos,Porcentaje
PAN,13899,0.07987
PRI,29695,0.170641
PRD,2074,0.011918
V,5701,0.03276
PT,9584,0.055074
MC,28934,0.166268
M,69382,0.398701
PA+PRI+PRD,2876,0.016526
PAN+PRI,476,0.002735
PAN+PRD,116,0.000666
PRI+PRD,86,0.000494
V+PT+M,4108,0.023606
V+PT,563,0.003235
V+M,823,0.004729
PT+M,1119,0.00643
