,Total de votos,Porcentaje
PAN,35895,0.185409
PRI,31288,0.161613
PRD,1580,0.008161
V,5075,0.026214
PT,12407,0.064086
MC,20195,0.104314
M,67463,0.348469
PA+PRI+PRD,4198,0.021684
PAN+PRI,1425,0.00736
PAN+PRD,90,0.000464
PRI+PRD,136,0.000702
V+PT+M,6922,0.035754
V+PT,656,0.003388
V+M,732,0.003781
PT+M,2189,0.011306
