,Total de votos,Porcentaje
PAN,13692,0.091885
PRI,13590,0.091201
PRD,1668,0.011193
V,10178,0.068303
PT,5040,0.033823
MC,20120,0.135023
M,70020,0.469898
PA+PRI+PRD,1537,0.010314
PAN+PRI,822,0.005516
PAN+PRD,56,0.000375
PRI+PRD,70,0.000469
V+PT+M,5361,0.035977
V+PT,583,0.003912
V+M,1341,0.008999
PT+M,1050,0.007046
