,Total de votos,Porcentaje
PAN,5625,0.034304
PRI,6283,0.038317
PRD,1657,0.010105
V,9713,0.059235
PT,10356,0.063156
MC,12250,0.074707
M,102431,0.624682
PA+PRI+PRD,1050,0.006403
PAN+PRI,197,0.001201
PAN+PRD,119,0.000725
PRI+PRD,78,0.000475
V+PT+M,6612,0.040323
V+PT,580,0.003537
V+M,1448,0.00883
PT+M,1325,0.00808
