,Total de votos,Porcentaje
PAN,15860,0.13308
PRI,5350,0.044891
PRD,716,0.006007
V,12547,0.105281
PT,8306,0.069695
MC,22424,0.188158
M,43117,0.361792
PA+PRI+PRD,1175,0.009859
PAN+PRI,388,0.003255
PAN+PRD,63,0.000528
PRI+PRD,116,0.000973
V+PT+M,4360,0.036584
V+PT,431,0.003616
V+M,590,0.00495
PT+M,691,0.005798
