,Total de votos,Porcentaje
PAN,13504,0.083053
PRI,6796,0.041797
PRD,1729,0.010633
V,14205,0.087364
PT,14729,0.090587
MC,25013,0.153837
M,72184,0.443952
PA+PRI+PRD,1354,0.008327
PAN+PRI,309,0.0019
PAN+PRD,96,0.00059
PRI+PRD,88,0.000541
V+PT+M,5479,0.033697
V+PT,891,0.005479
V+M,1013,0.00623
PT+M,1411,0.008678
