,Total de votos,Porcentaje
PAN,5951,0.036173
PRI,47022,0.285825
PRD,2121,0.012892
V,6711,0.040793
PT,6929,0.042118
MC,7341,0.044622
M,77524,0.471233
PA+PRI+PRD,1040,0.006321
PAN+PRI,422,0.002565
PAN+PRD,15,9.1e-05
PRI+PRD,125,0.000759
V+PT+M,3310,0.020119
V+PT,448,0.002723
V+M,724,0.0044
PT+M,1166,0.007087
