,Total de votos,Porcentaje
PAN,11809,0.050619
PRI,12600,0.05401
PRD,3234,0.013862
V,19014,0.081504
PT,22927,0.098277
MC,30938,0.132617
M,114140,0.489266
PA+PRI+PRD,1257,0.005388
PAN+PRI,395,0.001693
PAN+PRD,48,0.000205
PRI+PRD,130,0.000557
V+PT+M,8103,0.034733
V+PT,849,0.003639
V+M,1134,0.00486
PT+M,1770,0.007587
