,Total de votos,Porcentaje
PAN,6477,0.036307
PRI,11560,0.064801
PRD,2890,0.0162
V,18008,0.100946
PT,21077,0.11815
MC,11049,0.061936
M,91867,0.514975
PA+PRI+PRD,571,0.0032
PAN+PRI,272,0.001524
PAN+PRD,52,0.000291
PRI+PRD,75,0.00042
V+PT+M,4163,0.023336
V+PT,987,0.005532
V+M,1163,0.006519
PT+M,1623,0.009097
